Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Market Price 
Pokemon,Ancient Origins,Meowth,61,Common,Reverse Holofoil,Ungraded,0.75
Pokemon,Ascended Heroes,Frosmoth,053/217,Uncommon,Normal,Ungraded,0.08
Pokemon,Ascended Heroes,Larry's Komala,175/217,Common,Normal,Ungraded,0.08
Pokemon,Ascended Heroes,Thick Scale,211/217,Uncommon,Reverse Holofoil,Ungraded,0.59
Pokemon,Astral Radiance,Radiant Hawlucha,081/189,Radiant Rare,Holofoil,Ungraded,0.69
Pokemon,Battle Partners,Hop's Snorlax (JP),075/100,Rare,Holofoil,Ungraded,1.68
Pokemon,Brave Stars (Charm),Honchkrow V,140/127,SR,Holofoil,Ungraded,5.85
Pokemon,Brilliant Stars,Manaphy,041/172,Rare,Reverse Holofoil,Ungraded,0.59
Pokemon,Chilling Reign,Tauros,115/198,Holo Rare,Reverse Holofoil,Ungraded,0.27
Pokemon,Cosmic Eclipse,Mimikyu (96),96/236,Uncommon,Reverse Holofoil,Ungraded,11.32
Pokemon,Cosmic Eclipse,Mimikyu (96),96/236,Uncommon,Normal,Ungraded,1.61
Pokemon,Crown Zenith,Galarian Meowth,084/159,Common,Normal,Ungraded,0.13
Pokemon,Crown Zenith,Tauros,106/159,Rare,Normal,Ungraded,0.1
Pokemon,Crown Zenith: Galarian Gallery,Manaphy,GG06/GG70,Holo Rare,Holofoil,Ungraded,4.82
Pokemon,Darkness Ablaze,Dedenne,078/189,Uncommon,Normal,Ungraded,0.21
Pokemon,Darkness Ablaze,Tauros,134/189,Common,Reverse Holofoil,Ungraded,0.23
Pokemon,Dark Phantasma,Snorlax (JP),058/071,Rare,Holofoil,Ungraded,1.59
Pokemon,Destined Rivals,Team Rocket's Meowth,149/182,Common,Reverse Holofoil,Ungraded,0.17
Pokemon,Destined Rivals,Team Rocket's Mimikyu,087/182,Uncommon,Normal,Ungraded,0.25
Pokemon,EX Team Rocket Returns,Rocket's Meowth,46,Uncommon,Normal,Ungraded,11.32
Pokemon,EX Unseen Forces (Japanese),Miltank (JP),088/106,Uncommon,Normal,Ungraded,3.05
Pokemon,Fusion Strike,Impidimp,176/264,Common,Normal,Ungraded,0.11
Pokemon,Fusion Strike,Meowth,199/264,Common,Normal,Ungraded,0.21
Pokemon,Glory of Team Rocket,Team Rocket's Murkrow (JP),071/098,Uncommon,Normal,Ungraded,1.88
Pokemon,Glory of Team Rocket,Team Rocket's Spidops (JP),009/098,Rare,Holofoil,Ungraded,2.15
Pokemon,Inferno X,Empoleon ex,058/080,Double Rare,Holofoil,Ungraded,0.32
Pokemon,Journey Together,Hop's Snorlax,117/159,Holo Rare,Holofoil,Ungraded,0.3
Pokemon,Journey Together,Lycanroc,166/159,Illustration Rare,Holofoil,Ungraded,2.88
Pokemon,Journey Together,Noibat,169/159,Illustration Rare,Holofoil,Ungraded,5.42
Pokemon,Journey Together,Noivern,128/159,Holo Rare,Reverse Holofoil,Ungraded,0.48
Pokemon,Journey Together,Oinkologne,140/159,Uncommon,Reverse Holofoil,Ungraded,0.35
Pokemon,Journey Together,Paldean Clodsire ex,094/159,Double Rare,Holofoil,Ungraded,0.75
Pokemon,Journey Together,Regice,042/159,Uncommon,Reverse Holofoil,Ungraded,0.42
Pokemon,Journey Together,Weezing,092/159,Uncommon,Normal,Ungraded,0.1
Pokemon,Lost Origin Trainer Gallery,Snorlax,TG10/TG30,Ultra Rare,Holofoil,Ungraded,18.53
Pokemon,MEGA Dream ex,Dragonair (Energy Symbol Pattern),125/193,,Holofoil,Ungraded,2.62
Pokemon,MEGA Dream ex,Dratini (Energy Symbol Pattern),124/193,,Holofoil,Ungraded,0.46
Pokemon,MEGA Dream ex,Dwebble (Friend Ball Pattern),013/193,,Holofoil,Ungraded,0.48
Pokemon,MEGA Dream ex,N's PP Up,146/193,,Normal,Ungraded,0.15
Pokemon,MEGA Dream ex,Silcoon,005/193,,Normal,Ungraded,0.13
Pokemon,MEGA Dream ex,Team Rocket's Mimikyu,079/193,,Normal,Ungraded,0.6
Pokemon,MEGA Dream ex,Team Rocket's Mimikyu (Energy Symbol Pattern),079/193,,Holofoil,Ungraded,1.49
Pokemon,MEGA Dream ex,Team Rocket's Spidops (Energy Symbol Pattern),016/193,,Holofoil,Ungraded,0.84
Pokemon,Mega Evolution,Buddy-Buddy Poffin,167/132,Ultra Rare,Holofoil,Ungraded,5.01
Pokemon,Mega Evolution,Grafaiai,092/132,Common,Normal,Ungraded,0.05
Pokemon,Mega Evolution,Litleo,139/132,Illustration Rare,Holofoil,Ungraded,3.47
Pokemon,Mega Symphonia,Litleo (JP),066/063,Art Rare,Holofoil,Ungraded,3.18
